time_s,node,x,y,z,error_m
134.158282265,121,210.000676058,-173.037607145,30,2.44470676403e-08
135.65828226,121,210.000812645,-203.037606934,30,3.90402632551e-08
137.384563466,121,225.000820726,-205.537566275,30,3.34677308899e-08
139.110844671,121,240.000709736,-178.037470179,30,1.90840709369e-08
140.610844668,121,240.000608196,-148.037416002,30,3.59620413371e-08
142.110844664,121,240.000464197,-118.037418782,30,1.88100687648e-08
143.610844661,121,240.000362628,-88.0374229556,30,1.38296183291e-08
145.110844659,121,240.000261045,-58.0374285248,30,1.66848376635e-08
146.610844658,121,240.000117004,-28.0374354872,30,2.98975352114e-08
148.110844656,121,239.999972949,1.96255612349,30,2.23047975104e-08
149.610844654,121,239.999871324,31.9625463243,30,1.26486732601e-08
151.121189968,121,254.999810376,49.4625948893,30,2.9231321505e-08
152.631535281,121,269.99983354,36.9626540524,30,3.75824126424e-08
154.131535279,121,269.999942566,6.96266407964,30,4.64191420979e-08
155.631535278,121,270.00009402,-23.037327326,30,2.96838474718e-08
157.131535275,121,270.000245458,-53.0373201045,30,4.49872948373e-08
158.631535273,121,270.000354436,-83.0373143133,30,3.46882389892e-08
160.13153527,121,270.000463399,-113.037309915,30,3.59837316314e-08
161.631535266,121,270.000572346,-143.03730691,30,4.72645518043e-08
163.131535262,121,270.000681277,-173.037305321,30,4.51807094873e-08
164.631535257,121,270.000790192,-203.037305131,30,4.6715699942e-08
166.357816462,121,285.000820717,-205.537273383,30,2.70666075597e-08
168.084097667,121,300.000717428,-178.03724169,30,2.50338743382e-08
169.584097662,121,300.000601112,-148.03724305,30,1.85085741887e-08
171.084097659,121,300.000484778,-118.037245786,30,3.4644150864e-08
172.584097655,121,300.000368427,-88.0372499554,30,2.42601120377e-08
174.084097652,121,300.000252059,-58.0372555176,30,2.42265911598e-08
175.58409765,121,300.000135674,-28.0372624729,30,3.53761967149e-08
177.084097648,121,300.000019272,1.96272915884,30,3.97037840854e-08
178.584097645,121,299.999860408,31.9627193634,30,2.37988822162e-08
180.094442957,121,314.999769614,49.4628145563,30,3.43626678223e-08
181.604788269,121,329.999820172,36.9629203375,30,3.84371950323e-08
183.104788266,121,329.999943993,6.96293035774,30,4.97615600836e-08
184.604788264,121,330.000067794,-23.037061052,30,3.85389452531e-08
186.104788261,121,330.000191574,-53.0371093757,30,4.05360517515e-08
187.604788258,121,330.000315336,-83.0371591095,30,3.76499189829e-08
189.104788254,121,330.000439081,-113.037154715,30,4.52889639355e-08
190.60478825,121,330.000562807,-143.037151737,30,4.123195923e-08
192.104788245,121,330.000686514,-173.037150155,30,4.33908335735e-08
193.604788239,121,330.000810202,-203.037149968,30,5.17066735419e-08
195.354788236,121,330.000872041,-218.037150249,30,3.3669576268e-08
