node,seq,time_s,rssi_dbm,uav_x,uav_y,uav_z
36,171,347.584887452,-81.9531909717,300.000100757,-13.870344582,30
23,172,349.368220768,-80.0288753021,300.000008684,3.96298324564,30
11,173,351.16822078,-81.3207574423,299.999913368,21.9629777108,30
12,173,351.184887446,-81.3139953276,299.999912485,22.1296443128,30
12,177,359.184887445,-81.2445895766,329.999860435,27.2098146934,30
24,178,361.384887435,-80.1033725735,329.999951233,5.20982182834,30
24,179,363.384887445,-81.2017756958,330.00003377,-14.7901724182,30
36,179,363.584887449,-81.6622268079,330.000042022,-16.7901719354,30
36,180,365.584887451,-81.8145006283,330.00012455,-36.7901667272,30
48,180,365.784887442,-80.9637016467,330.000132802,-38.7901689374,30
48,181,367.784887436,-80.2232873251,330.000215314,-58.7902386172,30
60,182,369.984887445,-81.278270794,330.000306072,-80.7902688161,30
72,183,372.184887433,-79.9368277952,330.000396823,-102.790265237,30
72,184,374.184887451,-81.8798071289,330.000479313,-122.790263013,30
84,184,374.384887446,-81.3719801825,330.000487562,-124.790262723,30
96,185,376.584887438,-80.445209494,330.000578289,-146.790260883,30
96,186,378.584887439,-80.6542465838,330.000660762,-166.790259846,30
108,187,380.784887447,-81.4803524813,330.000751472,-188.790259394,30
120,187,380.984887448,-81.5726091919,330.000759718,-190.790259447,30
120,188,382.984887434,-79.9839519602,330.00084217,-210.790259735,30
