node,seq,time_s
67,11,28.1
68,11,28.116666667
69,11,28.133333333
70,11,28.15
71,11,28.166666667
72,11,28.183333333
73,11,28.2
74,11,28.216666667
75,11,28.233333333
76,11,28.25
77,11,28.266666667
78,11,28.283333333
79,11,28.3
80,11,28.316666667
81,11,28.333333333
82,11,28.35
83,11,28.366666667
84,11,28.383333333
85,11,28.4
86,11,28.416666667
87,11,28.433333333
88,11,28.45
89,11,28.466666667
90,11,28.483333333
91,11,28.5
92,11,28.516666667
93,11,28.533333333
94,11,28.55
95,11,28.566666667
96,11,28.583333333
97,11,28.6
98,11,28.616666667
99,11,28.633333333
100,11,28.65
101,11,28.666666667
102,11,28.683333333
103,11,28.7
104,11,28.716666667
105,11,28.733333333
106,11,28.75
107,11,28.766666667
108,11,28.783333333
109,11,28.8
110,11,28.816666667
111,11,28.833333333
112,11,28.85
113,11,28.866666667
114,11,28.883333333
115,11,28.9
116,11,28.916666667
117,11,28.933333333
118,11,28.95
119,11,28.966666667
120,11,28.983333333
1,12,29
2,12,29.016666667
3,12,29.033333333
4,12,29.05
5,12,29.066666667
6,12,29.083333333
7,12,29.1
8,12,29.116666667
9,12,29.133333333
10,12,29.15
11,12,29.166666667
12,12,29.183333333
13,12,29.2
14,12,29.216666667
15,12,29.233333333
16,12,29.25
17,12,29.266666667
18,12,29.283333333
19,12,29.3
20,12,29.316666667
21,12,29.333333333
22,12,29.35
23,12,29.366666667
24,12,29.383333333
25,12,29.4
26,12,29.416666667
27,12,29.433333333
28,12,29.45
29,12,29.466666667
30,12,29.483333333
31,12,29.5
32,12,29.516666667
33,12,29.533333333
34,12,29.55
35,12,29.566666667
36,12,29.583333333
37,12,29.6
38,12,29.616666667
39,12,29.633333333
40,12,29.65
41,12,29.666666667
42,12,29.683333333
43,12,29.7
44,12,29.716666667
45,12,29.733333333
46,12,29.75
47,12,29.766666667
48,12,29.783333333
49,12,29.8
50,12,29.816666667
51,12,29.833333333
52,12,29.85
53,12,29.866666667
54,12,29.883333333
55,12,29.9
56,12,29.916666667
57,12,29.933333333
58,12,29.95
59,12,29.966666667
60,12,29.983333333
